Time,Temperature(¡C),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,37,0.1176,0.1172,0.1152,0.1153,0.1189,0.1093,0.1165,0.1231,0.1255,0.1116,0.1135,0.1141,0.1219,0.1337,0.1399,0.1369,0.1386,0.1357,0.1411,0.134,0.1216,0.1234,0.1147,0.1188,0.1202,0.1354,0.1319,0.1343,0.1383,0.139,0.1432,0.1282,0.1092,0.1218,0.12,0.1148,0.1143,0.1349,0.131,0.1351,0.1297,0.1391,0.1435,0.1251,0.1194,0.1145,0.1143,0.1132,0.1199,0.135,0.1334,0.1342,0.1417,0.1325,0.1357,0.1241,0.1286,0.1213,0.1156,0.1228,0.1201,0.1406,0.1378,0.1327,0.1412,0.1431,0.1441,0.1284,0.1179,0.1137,0.1135,0.12,0.1131,0.1404,0.1329,0.1334,0.1354,0.1386,0.1424,0.1329,0.1184,0.1158,0.1159,0.1176,0.1168,0.1223,0.1209,0.1273,0.115,0.1193,0.1106,0.1335,0.1161,0.1135,0.1218,0.1207
0:15:00,37,0.116,0.1157,0.1137,0.1139,0.1168,0.1098,0.1149,0.1231,0.1237,0.1113,0.1128,0.1129,0.1198,0.133,0.1378,0.1363,0.1371,0.1349,0.1443,0.1352,0.1212,0.1194,0.1139,0.1181,0.1181,0.1312,0.1296,0.1303,0.1363,0.1353,0.141,0.1272,0.1091,0.1206,0.1188,0.115,0.113,0.1343,0.1302,0.1348,0.1269,0.135,0.1419,0.1235,0.1199,0.1133,0.1131,0.1133,0.1186,0.1337,0.1316,0.131,0.1388,0.131,0.1335,0.1243,0.1274,0.1195,0.1146,0.1215,0.1186,0.1393,0.1365,0.1303,0.1383,0.1402,0.1399,0.1266,0.1161,0.1117,0.1119,0.118,0.1113,0.1385,0.1306,0.1296,0.1321,0.1367,0.1423,0.1344,0.1177,0.1144,0.1141,0.1167,0.1147,0.1202,0.1193,0.1254,0.1147,0.1176,0.1086,0.1302,0.1146,0.1109,0.1206,0.1192
0:30:00,37,0.1158,0.1155,0.1136,0.1137,0.1165,0.1098,0.1147,0.1229,0.1235,0.1111,0.1126,0.1127,0.1196,0.1406,0.1413,0.1405,0.1382,0.1388,0.1466,0.1347,0.1208,0.1193,0.1138,0.1177,0.1177,0.1387,0.1361,0.1365,0.1369,0.1373,0.1433,0.1266,0.1087,0.1202,0.1183,0.1147,0.1129,0.142,0.1363,0.1399,0.1274,0.1363,0.1439,0.123,0.1198,0.1134,0.1129,0.113,0.1184,0.1407,0.1387,0.137,0.1399,0.134,0.1368,0.1238,0.1271,0.1193,0.1144,0.1213,0.1184,0.1475,0.1424,0.1361,0.139,0.1424,0.1431,0.126,0.1158,0.1114,0.1117,0.1175,0.1111,0.1453,0.137,0.1346,0.1328,0.1389,0.1439,0.1344,0.1173,0.1141,0.1137,0.1164,0.1144,0.12,0.1191,0.125,0.1144,0.1174,0.1085,0.1298,0.1142,0.1107,0.1203,0.1189
0:45:00,37,0.1157,0.1154,0.1135,0.1136,0.1165,0.1098,0.1146,0.1227,0.1234,0.111,0.1126,0.1126,0.1195,0.1434,0.147,0.1452,0.1446,0.1454,0.1537,0.1343,0.1206,0.1192,0.1138,0.1176,0.1175,0.1473,0.1374,0.1396,0.1436,0.1459,0.1514,0.1262,0.1086,0.1201,0.1181,0.1145,0.1129,0.1446,0.1384,0.1442,0.1341,0.146,0.1507,0.1228,0.1196,0.1133,0.1129,0.113,0.1183,0.1419,0.1405,0.1406,0.149,0.1455,0.1453,0.1235,0.1269,0.1192,0.1143,0.1213,0.1183,0.1494,0.1456,0.1393,0.1457,0.1536,0.1514,0.1256,0.1156,0.1113,0.1116,0.1174,0.111,0.1481,0.1397,0.1387,0.1408,0.1488,0.1513,0.1341,0.117,0.1139,0.1136,0.1163,0.1143,0.1199,0.1191,0.1249,0.1143,0.1174,0.1084,0.1298,0.1142,0.1106,0.1202,0.1187
1:00:00,37,0.1155,0.1152,0.1134,0.1135,0.1164,0.1097,0.1146,0.1227,0.1233,0.111,0.1126,0.1126,0.1193,0.1483,0.152,0.1484,0.1499,0.1542,0.16,0.134,0.1205,0.119,0.1136,0.1174,0.1174,0.1466,0.1424,0.1452,0.1489,0.1522,0.1584,0.126,0.1086,0.1201,0.118,0.1145,0.1128,0.1494,0.1456,0.1495,0.142,0.155,0.1573,0.1225,0.1194,0.1132,0.1127,0.1128,0.1182,0.149,0.1457,0.1456,0.1579,0.1539,0.1539,0.1234,0.1267,0.1191,0.1143,0.1212,0.1182,0.154,0.1508,0.1441,0.1545,0.162,0.1591,0.1254,0.1156,0.1111,0.1115,0.1172,0.111,0.153,0.1447,0.1431,0.1493,0.1579,0.1605,0.1339,0.1169,0.1136,0.1134,0.1161,0.1143,0.1198,0.119,0.1248,0.1142,0.1172,0.1083,0.1296,0.1141,0.1105,0.12,0.1186
1:15:00,37,0.1155,0.1152,0.1133,0.1134,0.1163,0.1097,0.1145,0.1225,0.1231,0.1108,0.1124,0.1125,0.1192,0.1584,0.1607,0.156,0.1678,0.1708,0.1748,0.1338,0.1204,0.1189,0.1136,0.1172,0.1174,0.1599,0.1531,0.155,0.1629,0.1685,0.1712,0.1257,0.1086,0.12,0.1179,0.1144,0.1128,0.1627,0.1537,0.1589,0.1484,0.1678,0.1707,0.1224,0.1194,0.1132,0.1127,0.1128,0.1181,0.1581,0.156,0.1524,0.1655,0.1643,0.1635,0.1232,0.1266,0.1189,0.1142,0.1211,0.1181,0.165,0.1603,0.1516,0.1594,0.1731,0.1698,0.1251,0.1155,0.1111,0.1114,0.117,0.111,0.1632,0.1529,0.1519,0.1589,0.1681,0.1668,0.1336,0.1167,0.1135,0.1134,0.1159,0.1142,0.1197,0.1189,0.1248,0.1141,0.1172,0.1083,0.1294,0.1139,0.1105,0.12,0.1185
1:30:00,37,0.1154,0.1151,0.1133,0.1133,0.1162,0.1095,0.1144,0.1225,0.1232,0.1108,0.1125,0.1125,0.1191,0.1742,0.1755,0.1716,0.1838,0.1865,0.191,0.1335,0.1203,0.1188,0.1134,0.1172,0.1173,0.1793,0.1672,0.1702,0.1823,0.1839,0.188,0.1258,0.1086,0.12,0.1179,0.1143,0.1128,0.1772,0.1698,0.1742,0.1693,0.1841,0.187,0.1222,0.1193,0.1131,0.1126,0.1126,0.118,0.1751,0.1718,0.1683,0.1846,0.1815,0.1806,0.123,0.1265,0.1188,0.1141,0.1209,0.1181,0.1802,0.1739,0.1665,0.1816,0.1893,0.1863,0.1249,0.1154,0.111,0.1113,0.1169,0.1109,0.1799,0.1686,0.1677,0.1782,0.1854,0.1846,0.1334,0.1165,0.1133,0.1133,0.1158,0.1142,0.1196,0.1188,0.1246,0.1141,0.1171,0.1082,0.1294,0.114,0.1104,0.1199,0.1184
1:45:00,37,0.1154,0.1151,0.1132,0.1133,0.1161,0.1096,0.1143,0.1224,0.1231,0.1107,0.1125,0.1125,0.119,0.1997,0.2002,0.196,0.2046,0.2045,0.2128,0.1334,0.1203,0.1188,0.1134,0.1172,0.1172,0.2131,0.1911,0.1977,0.2025,0.2034,0.2099,0.1256,0.1086,0.12,0.1179,0.1143,0.1128,0.2032,0.1947,0.2013,0.1922,0.2054,0.2094,0.122,0.1192,0.1131,0.1125,0.1125,0.118,0.1999,0.1967,0.1949,0.2063,0.2021,0.2023,0.123,0.1263,0.1187,0.1141,0.1209,0.118,0.2064,0.1996,0.1896,0.2069,0.2084,0.2066,0.1247,0.1154,0.111,0.1112,0.1168,0.1109,0.2048,0.194,0.1917,0.1991,0.2069,0.2089,0.1331,0.1164,0.1132,0.1132,0.1157,0.1141,0.1196,0.1188,0.1245,0.114,0.117,0.1081,0.1294,0.1139,0.1104,0.1198,0.1183
2:00:00,37,0.1154,0.1151,0.1131,0.1131,0.1161,0.1095,0.1142,0.1225,0.1231,0.1107,0.1124,0.1124,0.119,0.2354,0.2378,0.2324,0.2336,0.2302,0.2343,0.1333,0.1202,0.1187,0.1134,0.1171,0.1171,0.2379,0.228,0.2395,0.2325,0.2318,0.233,0.1255,0.1086,0.12,0.1179,0.1143,0.1127,0.2381,0.2324,0.2393,0.2198,0.2337,0.2326,0.1219,0.1191,0.113,0.1125,0.1124,0.118,0.2349,0.2343,0.2312,0.2331,0.2317,0.2266,0.123,0.1262,0.1186,0.1141,0.1209,0.118,0.2413,0.2373,0.2262,0.2353,0.2388,0.2304,0.1246,0.1154,0.111,0.1112,0.1168,0.1109,0.2403,0.2344,0.2289,0.2264,0.2359,0.2351,0.1331,0.1165,0.1132,0.1132,0.1156,0.1141,0.1196,0.1188,0.1245,0.1141,0.117,0.1081,0.1294,0.1138,0.1103,0.1199,0.1183
2:15:00,37,0.1153,0.1148,0.113,0.113,0.1158,0.1094,0.114,0.1224,0.123,0.1107,0.1123,0.1123,0.119,0.287,0.2868,0.2784,0.2773,0.2755,0.2711,0.1331,0.1202,0.1186,0.1133,0.1171,0.1171,0.2899,0.2758,0.2947,0.2748,0.2774,0.2689,0.1254,0.1086,0.1199,0.1181,0.1142,0.1128,0.2891,0.2846,0.2926,0.2592,0.278,0.2686,0.1217,0.1191,0.113,0.1125,0.1125,0.1179,0.2848,0.2844,0.2796,0.2715,0.2773,0.2635,0.1229,0.1262,0.1186,0.114,0.1208,0.118,0.2912,0.2869,0.2759,0.2749,0.2853,0.2686,0.1244,0.1153,0.1109,0.1112,0.1167,0.1108,0.2902,0.2827,0.2774,0.2697,0.2825,0.2754,0.133,0.1164,0.113,0.1133,0.1156,0.1141,0.1194,0.1187,0.1244,0.1137,0.1169,0.1081,0.1293,0.1138,0.1103,0.1196,0.1183
